lng,lat,time,flow,dm
116.458,39.948,2017-06-22 02:00:00,0,1
116.458,39.948,2017-06-22 03:00:00,0,0
116.458,39.948,2017-06-22 04:00:00,0,0
116.458,39.948,2017-06-22 05:00:00,0,0
116.458,39.948,2017-06-22 06:00:00,0,0
116.458,39.948,2017-06-22 07:00:00,1,0
116.458,39.948,2017-06-22 08:00:00,3,1
116.458,39.948,2017-06-22 09:00:00,0,1
116.458,39.948,2017-06-22 10:00:00,0,0
116.458,39.948,2017-06-22 11:00:00,0,0
116.458,39.948,2017-06-22 12:00:00,0,0
116.458,39.948,2017-06-22 13:00:00,0,0
116.458,39.948,2017-06-22 14:00:00,0,0
116.458,39.948,2017-06-22 15:00:00,0,0
116.458,39.948,2017-06-22 16:00:00,0,0
116.458,39.948,2017-06-22 17:00:00,0,0
116.458,39.948,2017-06-22 18:00:00,0,0
116.458,39.948,2017-06-22 19:00:00,0,0
116.458,39.948,2017-06-22 20:00:00,0,0
116.458,39.948,2017-06-22 21:00:00,0,0
116.458,39.948,2017-06-22 22:00:00,0,0
116.458,39.948,2017-06-22 23:00:00,0,0
116.458,39.948,2017-06-23 00:00:00,0,0
116.458,39.948,2017-06-23 01:00:00,0,0
116.458,39.948,2017-06-23 02:00:00,0,0
116.458,39.948,2017-06-23 03:00:00,0,0
116.458,39.948,2017-06-23 04:00:00,0,0
116.458,39.948,2017-06-23 05:00:00,0,0
116.458,39.948,2017-06-23 06:00:00,0,0
116.458,39.948,2017-06-23 07:00:00,1,0
116.458,39.948,2017-06-23 08:00:00,1,0
116.458,39.948,2017-06-23 09:00:00,0,1
116.458,39.948,2017-06-23 10:00:00,1,0
116.458,39.948,2017-06-23 11:00:00,1,1
116.458,39.948,2017-06-23 12:00:00,0,0
116.458,39.948,2017-06-23 13:00:00,0,0
116.458,39.948,2017-06-23 14:00:00,0,0
116.458,39.948,2017-06-23 15:00:00,0,2
116.458,39.948,2017-06-23 16:00:00,1,0
116.458,39.948,2017-06-23 17:00:00,0,1
116.458,39.948,2017-06-23 18:00:00,0,1
116.458,39.948,2017-06-23 19:00:00,0,0
116.458,39.948,2017-06-23 20:00:00,1,1
116.458,39.948,2017-06-23 21:00:00,0,0
116.458,39.948,2017-06-23 22:00:00,0,0
116.458,39.948,2017-06-23 23:00:00,0,0
116.458,39.948,2017-06-24 00:00:00,0,0
116.458,39.948,2017-06-24 07:00:00,2,0
116.458,39.948,2017-06-24 08:00:00,1,0
116.458,39.948,2017-06-24 17:00:00,0,1
116.458,39.948,2017-06-24 18:00:00,1,0
116.458,39.948,2017-06-24 19:00:00,1,0
116.458,39.948,2017-06-25 04:00:00,0,2
116.458,39.948,2017-06-25 08:00:00,0,2
116.458,39.948,2017-06-25 09:00:00,0,1
116.458,39.948,2017-06-25 19:00:00,0,1
116.458,39.948,2017-06-26 07:00:00,2,0
116.458,39.948,2017-06-26 08:00:00,4,2
116.458,39.948,2017-06-26 09:00:00,1,1
116.458,39.948,2017-06-26 10:00:00,2,0
116.458,39.948,2017-06-26 11:00:00,2,0
116.458,39.948,2017-06-26 13:00:00,2,1
116.458,39.948,2017-06-26 14:00:00,1,0
116.458,39.948,2017-06-26 15:00:00,0,1
116.458,39.948,2017-06-26 16:00:00,1,0
116.458,39.948,2017-06-26 18:00:00,0,1
116.458,39.948,2017-06-26 19:00:00,1,0
116.458,39.948,2017-06-26 20:00:00,1,0
116.458,39.948,2017-06-26 21:00:00,1,1
116.458,39.948,2017-06-26 22:00:00,1,0
116.458,39.948,2017-06-27 05:00:00,0,1
116.458,39.948,2017-06-27 06:00:00,1,1
116.458,39.948,2017-06-27 07:00:00,2,0
116.458,39.948,2017-06-27 08:00:00,2,2
116.458,39.948,2017-06-27 09:00:00,2,1
116.458,39.948,2017-06-27 10:00:00,4,1
116.458,39.948,2017-06-27 11:00:00,1,1
116.458,39.948,2017-06-27 14:00:00,1,0
116.458,39.948,2017-06-27 16:00:00,1,0
116.458,39.948,2017-06-27 17:00:00,2,3
116.458,39.948,2017-06-27 18:00:00,0,1
116.458,39.948,2017-06-27 19:00:00,2,3
116.458,39.948,2017-06-27 20:00:00,2,1
116.458,39.948,2017-06-27 22:00:00,0,1
116.458,39.948,2017-06-27 23:00:00,1,0
116.458,39.948,2017-06-28 06:00:00,1,0
116.458,39.948,2017-06-28 07:00:00,2,0
116.458,39.948,2017-06-28 08:00:00,3,0
116.458,39.948,2017-06-28 09:00:00,2,0
116.458,39.948,2017-06-28 10:00:00,2,0
116.458,39.948,2017-06-28 12:00:00,1,1
116.458,39.948,2017-06-28 14:00:00,2,0
116.458,39.948,2017-06-28 16:00:00,1,0
116.458,39.948,2017-06-28 17:00:00,3,0
116.458,39.948,2017-06-28 18:00:00,4,0
116.458,39.948,2017-06-28 19:00:00,3,0
116.458,39.948,2017-06-28 20:00:00,3,0
116.458,39.948,2017-06-28 21:00:00,0,2
116.458,39.948,2017-06-28 22:00:00,2,0
116.458,39.948,2017-06-28 23:00:00,1,0
116.458,39.948,2017-06-29 00:00:00,0,1
116.458,39.948,2017-06-29 01:00:00,0,0
116.458,39.948,2017-06-29 02:00:00,0,0
116.458,39.948,2017-06-29 03:00:00,0,0
116.458,39.948,2017-06-29 04:00:00,0,0
116.458,39.948,2017-06-29 05:00:00,0,0
116.458,39.948,2017-06-29 06:00:00,0,0
116.458,39.948,2017-06-29 07:00:00,2,0
116.458,39.948,2017-06-29 08:00:00,3,3
116.458,39.948,2017-06-29 09:00:00,3,1
116.458,39.948,2017-06-29 10:00:00,1,1
116.458,39.948,2017-06-29 11:00:00,0,0
116.458,39.948,2017-06-29 12:00:00,0,0
116.458,39.948,2017-06-29 13:00:00,0,0
116.458,39.948,2017-06-29 14:00:00,1,1
116.458,39.948,2017-06-29 15:00:00,0,0
116.458,39.948,2017-06-29 16:00:00,1,0
116.458,39.948,2017-06-29 17:00:00,2,1
116.458,39.948,2017-06-29 18:00:00,3,0
116.458,39.948,2017-06-29 19:00:00,1,0
116.458,39.948,2017-06-29 20:00:00,2,2
116.458,39.948,2017-06-29 21:00:00,1,0
116.458,39.948,2017-06-29 22:00:00,0,0
116.458,39.948,2017-06-29 23:00:00,0,0
116.458,39.948,2017-06-30 00:00:00,0,0
116.458,39.948,2017-06-30 06:00:00,1,0
116.458,39.948,2017-06-30 07:00:00,6,1
116.458,39.948,2017-06-30 08:00:00,1,0
116.458,39.948,2017-06-30 09:00:00,2,0
116.458,39.948,2017-06-30 11:00:00,0,1
116.458,39.948,2017-06-30 12:00:00,1,0
